,Year,ICT goods exports (% of total goods exports),ICT goods imports (% total goods imports),Individuals using the Internet (% of population),Fixed broadband subscriptions (per 100 people),Fixed broadband subscriptions,Fixed telephone subscriptions (per 100 people),Fixed telephone subscriptions,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions,Container port traffic (TEU: 20 foot equivalent units),Liner shipping connectivity index (maximum value in 2004 = 100),"Air transport, passengers carried","Air transport, freight (million ton-km)","Air transport, registered carrier departures worldwide","Trademark applications, resident, by count","Trademark applications, nonresident, by count","Industrial design applications, resident, by count","Industrial design applications, nonresident, by count",Public private partnerships investment in water and sanitation (current US$),Public private partnerships investment in transport (current US$),Public private partnerships investment in energy (current US$),Investment in water and sanitation with private participation (current US$),Investment in transport with private participation (current US$),Investment in energy with private participation (current US$),Electric power consumption (kWh per capita),Electricity production from oil sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from natural gas sources (% of total),Electric power transmission and distribution losses (% of output),Electricity production from hydroelectric sources (% of total),Electricity production from coal sources (% of total),"ICT service exports (% of service exports, BoP)","ICT service exports (BoP, current US$)",Healthcare Expenditure Percent GDP,Pharmaceutical Spending US $ / Capita,CT Scan Device Counts,PET Scan Device Counts,Doctors per 1000 People,Nurses per 1000 People,Hospital Count,Total Cases
2009,2009,21.66364602,19.599314,26.34,8.572678979,9641168,17.34385457,19505573,73.97358941,83193574,2874312.625,31.89,15728171,714.057,222356,59277,22660,1241,1689,288500000,1738540000,1787950000,288500000,1738540000,1878344737,1995.298277,17.49852477,3.92188352,54.65427221,15.85485184,9.978562412,10.96118079,1.835045257,277266946.4,6.13,294.354,459,0,1.97,2.35,4406,7637
2010,2010,20.16678202,19.22545736,31.05,9.275650944,10582865,17.45825726,19918643,80.09564358,91383493,3704918,36.35,31269061,908.9481708,445796.033,68928,25529,1691,1849,793000000,1099400000,799700000,793000000,1099400000,799700000,2018.827401,16.18185579,2.133651742,53.34818917,16.06027503,13.47586712,11.71603088,1.307022013,202448238,5.975,291.963,535,0,2,2.41,4456,8044
2011,2011,16.99510788,17.28430582,37.17629541,9.996993573,11566069,17.2839952,19996800,81.75190485,94583253,4217877,36.09,29538937,774.6035196,386063.9941,71091,29190,1909,2240,267900000,2729100000,1207000000,267900000,2729100000,1207000000,2216.906101,16.26650284,3.332441511,54.33012608,15.06254315,11.97254509,11.14975673,1.495984732,236711314,5.701,265.124,526,5,2.1,2.51,4430,8516
2012,2012,16.85875525,16.50742282,39.75,11.15102982,13077276,17.55527465,20587800,85.89038906,100727228,4823838,38.81,32909408.72,763.8862606,415279.823,76010,29820,1954,2183,42300000,1593240000,2129500000,42300000,1593240000,2129500000,2253.514425,18.28641921,2.854557527,53.86618407,14.33788587,10.37763485,11.11812725,1.554140509,254766674,5.842,288.845,597,6,2.12,2.56,4421,9006
2013,2013,16.2663969,17.10787051,43.46,10.72808009,12747873,15.64754122,18593529,89.83415248,106747373,4887255,41.8,35986501.82,677.1399889,435792.09,77267,34092,1749,2262,140550000,3740500000,2117600000,140550000,3740500000,2117600000,2144.088926,16.18492833,3.968707748,55.7499176,14.30080114,9.417945286,10.74914404,1.089685276,197164734,5.941,281.178,629,7,2.17,2.63,4436,8626
2014,2014,16.03827184,16.33825402,44.39,10.82838697,13032519,15.42077376,18559692,87.19889276,104948339,5057313.25,40.09,39570522,617.5295527,457921.907,81101,38810,1774,2306,1046500000,629400000,4510000000,1046500000,629400000,4510000000,2157.323949,10.94740892,3.209661156,57.03624592,13.70565447,12.90000531,11.23762836,0.8664327488,183530403,5.607,271.151,694,8,2.25,2.7,4395,10941
2015,2015,16.18934081,16.45288265,57.43104299,12.11053419,14757686,16.55276658,20170913,88.37175565,107688282,5402866.65,42.95,46966763,714.003211,508614,90684,40744,1729,2270,1424600000,787100000,2545900000,1424600000,787100000,2545900000,1999.586946,10.14887285,3.720856983,59.86121914,14.60093613,9.903965443,10.86591802,0.6962918485,159473943,5.752,292.523,668,7,2.35,2.79,4456,27214
2016,2016,16.14344449,16.50849387,59.540446,13.03147414,16072157,16.94255414,20895824,90.59237542,111730635,5402866.65,46.27,53313307,760.849242,555984,98739,42873,1651,2645,375763333.3,422700000,3586600000,375763333.3,422700000,3586600000,1999.586946,24.71731147,3.842001729,44.74047333,14.60093613,11.92654563,11.03480101,0.4420617391,107037128.1,5.464,242.16,743,7,2.36,2.9,4474,19917
2017,2017,16.10817132,15.11295848,63.85224909,13.74536611,17151100,16.63167099,20752554,91.62670695,114329353,6370950,46.91,58537832,928.8355098,567921,108590,43154,1635,2598,375763333.3,1006900000,5795800000,375763333.3,1006900000,6613800000,1999.586946,24.71731147,3.842001729,44.74047333,14.60093613,11.92654563,11.03480101,0.2915769612,80600436,5.517,251.123,714,15,2.43,2.9,4538,27486
2018,2018,18.5079532,17.13035154,65.77263448,14.64297695,18478088,16.92791553,21361470,93.00775505,117367219,6980300,49.07,64569640,1090.37819,590727,109355,46468,1627,2322,537300000,589360000,3485650000,537300000,589360000,3597650000,1999.586946,24.71731147,3.842001729,44.74047333,14.60093613,11.92654563,11.03480101,3.041741199,433816942.4,5.457,251.123,730,15,2.43,2.9,4629,31051
