"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2000","2000",67,"B","Break"
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2001","2001",73,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2002","2002",73,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2003","2003",73,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2004","2004",75,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2005","2005",86,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2006","2006",100,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2007","2007",108,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2008","2008",120,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2009","2009",124,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2010","2010",125,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2011","2011",125,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2012","2012",125,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2013","2013",320,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2014","2014",344,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2015","2015",345,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2016","2016",346,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2017","2017",348,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUS","Australia","2018","2018",352,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUS","Australia","2008","2008",15,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUS","Australia","2009","2009",24,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUS","Australia","2010","2010",31,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUS","Australia","2011","2011",32,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUS","Australia","2012","2012",42,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUS","Australia","2013","2013",47,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUS","Australia","2014","2014",56,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUS","Australia","2015","2015",63,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUS","Australia","2016","2016",74,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUS","Australia","2017","2017",81,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUS","Australia","2018","2018",96,,
"IPINGAMA","Gamma cameras, total","NOMBRENB","Number","AUS","Australia","2008","2008",419,,
"IPINGAMA","Gamma cameras, total","NOMBRENB","Number","AUS","Australia","2009","2009",441,,
"IPINGAMA","Gamma cameras, total","NOMBRENB","Number","AUS","Australia","2010","2010",455,,
"IPINGAMA","Gamma cameras, total","NOMBRENB","Number","AUS","Australia","2011","2011",452,,
"IPINGAMA","Gamma cameras, total","NOMBRENB","Number","AUS","Australia","2012","2012",456,,
"IPINGAMA","Gamma cameras, total","NOMBRENB","Number","AUS","Australia","2013","2013",462,,
"IPINGAMA","Gamma cameras, total","NOMBRENB","Number","AUS","Australia","2014","2014",460,,
"IPINGAMA","Gamma cameras, total","NOMBRENB","Number","AUS","Australia","2015","2015",462,,
"IPINGAMA","Gamma cameras, total","NOMBRENB","Number","AUS","Australia","2016","2016",465,,
"IPINGAMA","Gamma cameras, total","NOMBRENB","Number","AUS","Australia","2017","2017",464,,
"IPINGAMA","Gamma cameras, total","NOMBRENB","Number","AUS","Australia","2018","2018",470,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2005","2005",511,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2006","2006",506,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2007","2007",508,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2008","2008",500,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2009","2009",534,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2010","2010",533,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2011","2011",520,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2012","2012",517,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2013","2013",521,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2014","2014",540,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2015","2015",547,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2016","2016",562,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2017","2017",571,,
"IPINMAMO","Mammographs, total","NOMBRENB","Number","AUS","Australia","2018","2018",593,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2000","2000",99,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2001","2001",99,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2002","2002",107,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2005","2005",123,"B","Break"
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2006","2006",127,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2008","2008",168,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2009","2009",193,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2010","2010",205,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2011","2011",205,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2012","2012",221,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2013","2013",234,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2014","2014",248,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2015","2015",258,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2016","2016",259,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2017","2017",256,,
"IPINRTEQ","Radiation therapy equipment, total","NOMBRENB","Number","AUS","Australia","2018","2018",265,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2000","2000",209,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2001","2001",214,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2002","2002",219,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2003","2003",221,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2004","2004",239,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2005","2005",244,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2006","2006",247,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2007","2007",249,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2008","2008",247,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2009","2009",245,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2010","2010",250,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2011","2011",248,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2012","2012",251,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2013","2013",251,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2014","2014",251,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2015","2015",250,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2016","2016",254,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUT","Austria","2017","2017",252,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2000","2000",131,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2001","2001",133,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2002","2002",136,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2003","2003",137,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2004","2004",152,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2005","2005",157,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2006","2006",160,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2007","2007",161,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2008","2008",159,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2009","2009",156,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2010","2010",162,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2011","2011",159,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2012","2012",161,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2013","2013",159,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2014","2014",159,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2015","2015",157,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2016","2016",157,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2017","2017",154,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2000","2000",78,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2001","2001",81,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2002","2002",83,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2003","2003",84,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2004","2004",87,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2005","2005",87,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2006","2006",87,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2007","2007",88,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2008","2008",88,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2009","2009",89,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2010","2010",88,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2011","2011",89,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2012","2012",90,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2013","2013",92,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2014","2014",92,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2015","2015",93,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2016","2016",97,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2017","2017",98,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2000","2000",88,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2001","2001",94,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2002","2002",108,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2003","2003",110,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2004","2004",130,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2005","2005",133,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2006","2006",139,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2007","2007",147,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2008","2008",150,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2009","2009",154,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2010","2010",156,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2011","2011",157,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2012","2012",161,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2013","2013",163,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2014","2014",168,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2015","2015",179,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2016","2016",196,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","AUT","Austria","2017","2017",202,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2000","2000",49,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2001","2001",53,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2002","2002",58,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2003","2003",59,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2004","2004",75,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2005","2005",77,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2006","2006",79,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2007","2007",83,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2008","2008",85,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2009","2009",85,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2010","2010",86,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2011","2011",86,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2012","2012",88,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2013","2013",88,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2014","2014",89,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2015","2015",92,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2016","2016",96,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","AUT","Austria","2017","2017",98,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2000","2000",39,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2001","2001",41,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2002","2002",50,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2003","2003",51,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2004","2004",55,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2005","2005",56,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2006","2006",60,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2007","2007",64,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2008","2008",65,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2009","2009",69,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2010","2010",70,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2011","2011",71,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2012","2012",73,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2013","2013",75,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2014","2014",79,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2015","2015",87,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2016","2016",100,,
"IPINMRIA","Magnetic Resonance Imaging units, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2017","2017",104,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2000","2000",9,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2001","2001",11,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2002","2002",12,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2003","2003",13,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2004","2004",14,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2005","2005",16,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2006","2006",16,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2007","2007",16,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2008","2008",17,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2009","2009",17,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2010","2010",16,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2011","2011",17,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2012","2012",17,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2013","2013",18,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2014","2014",19,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2015","2015",20,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2016","2016",23,,
"IPINPETS","Positron Emission Tomography (PET) scanners, total","NOMBRENB","Number","AUT","Austria","2017","2017",24,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2000","2000",9,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2001","2001",10,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2002","2002",11,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2003","2003",12,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2004","2004",13,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2005","2005",15,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2006","2006",15,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2007","2007",15,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2008","2008",16,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2009","2009",16,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2010","2010",15,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2011","2011",16,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2012","2012",16,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2013","2013",16,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2014","2014",17,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2015","2015",17,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2016","2016",19,,
"IPINPETH","Positron Emission Tomography (PET) scanners, in hospitals","NOMBRENB","Number","AUT","Austria","2017","2017",20,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2000","2000",0,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2001","2001",1,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2002","2002",1,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2003","2003",1,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2004","2004",1,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2005","2005",1,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2006","2006",1,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2007","2007",1,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2008","2008",1,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2009","2009",1,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2010","2010",1,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2011","2011",1,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2012","2012",1,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2013","2013",2,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2014","2014",2,,
"IPINPETA","Positron Emission Tomography (PET) scanners, in ambulatory sector","NOMBRENB","Number","AUT","Austria","2015","2015",3,,
