,ICT goods exports (% of total goods exports),ICT goods imports (% total goods imports),Individuals using the Internet (% of population),Fixed broadband subscriptions (per 100 people),Fixed broadband subscriptions,Fixed telephone subscriptions (per 100 people),Fixed telephone subscriptions,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions,Container port traffic (TEU: 20 foot equivalent units),Liner shipping connectivity index (maximum value in 2004 = 100),"Air transport, passengers carried","Air transport, freight (million ton-km)","Air transport, registered carrier departures worldwide","Trademark applications, resident, by count","Trademark applications, nonresident, by count","Industrial design applications, resident, by count","Industrial design applications, nonresident, by count",Public private partnerships investment in water and sanitation (current US$),Public private partnerships investment in transport (current US$),Public private partnerships investment in energy (current US$),Investment in water and sanitation with private participation (current US$),Investment in transport with private participation (current US$),Investment in energy with private participation (current US$),Electric power consumption (kWh per capita),Electricity production from oil sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from natural gas sources (% of total),Electric power transmission and distribution losses (% of output),Electricity production from hydroelectric sources (% of total),Electricity production from coal sources (% of total),"ICT service exports (% of service exports, BoP)","ICT service exports (BoP, current US$)",Year
2009,21.66364602,19.599314,26.34,8.572678978999999,9641168.0,17.34385457,19505573.0,73.97358941,83193574.0,2874312.625,31.89,15728171.0,714.057,222356.0,59277.0,22660.0,1241.0,1689.0,288500000.0,1738540000.0,1787950000.0,288500000.0,1738540000.0,1878344736.8421052,1995.298277,17.49852477,3.92188352,54.65427221,15.85485184,9.978562412,10.96118079,1.835045257,277266946.4,2009
2010,20.16678202,19.22545736,31.05,9.275650944,10582865.0,17.45825726,19918643.0,80.09564358,91383493.0,3704918.0,36.35,31269061.0,908.9481707999997,445796.033,68928.0,25529.0,1691.0,1849.0,793000000.0,1099400000.0,799700000.0,793000000.0,1099400000.0,799700000.0,2018.827401,16.18185579,2.133651742,53.34818917,16.06027503,13.47586712,11.71603088,1.307022013,202448238.0,2010
2011,16.99510788,17.28430582,37.17629541,9.996993573,11566069.0,17.2839952,19996800.0,81.75190485,94583253.0,4217877.0,36.09,29538937.0,774.6035196,386063.9941,71091.0,29190.0,1909.0,2240.0,267900000.0,2729100000.0,1207000000.0,267900000.0,2729100000.0,1207000000.0,2216.906101,16.26650284,3.3324415110000003,54.33012608,15.06254315,11.97254509,11.14975673,1.495984732,236711314.0,2011
2012,16.85875525,16.50742282,39.75,11.15102982,13077276.0,17.55527465,20587800.0,85.89038906,100727228.0,4823838.0,38.81,32909408.72,763.8862606,415279.823,76010.0,29820.0,1954.0,2183.0,42300000.0,1593240000.0,2129500000.0,42300000.0,1593240000.0,2129500000.0,2253.514425,18.28641921,2.854557527,53.86618407,14.33788587,10.37763485,11.11812725,1.554140509,254766674.0,2012
2013,16.2663969,17.10787051,43.46,10.72808009,12747873.0,15.64754122,18593529.0,89.83415248,106747373.0,4887255.0,41.8,35986501.82,677.1399888999998,435792.09,77267.0,34092.0,1749.0,2262.0,140550000.0,3740500000.0,2117600000.0,140550000.0,3740500000.0,2117600000.0,2144.088926000001,16.18492833,3.968707748,55.7499176,14.30080114,9.417945286,10.74914404,1.089685276,197164734.0,2013
2014,16.03827184,16.33825402,44.39,10.82838697,13032519.0,15.42077376,18559692.0,87.19889276,104948339.0,5057313.25,40.09,39570522.0,617.5295527000002,457921.907,81101.0,38810.0,1774.0,2306.0,1046500000.0,629400000.0,4510000000.0,1046500000.0,629400000.0,4510000000.0,2157.323949,10.94740892,3.209661156,57.03624592,13.70565447,12.90000531,11.23762836,0.8664327488,183530403.0,2014
2015,16.18934081,16.45288265,57.43104299,12.11053419,14757686.0,16.55276658,20170913.0,88.37175565,107688282.0,5402866.65,42.95,46966763.0,714.0032110000002,508614.0,90684.0,40744.0,1729.0,2270.0,1424600000.0,787100000.0,2545900000.0,1424600000.0,787100000.0,2545900000.0,1999.5869461250002,10.14887285,3.720856983,59.86121914,14.600936126875002,9.903965442999999,10.86591802,0.6962918484999999,159473943.0,2015
2016,16.14344449,16.50849387,59.540446,13.03147414,16072157.0,16.94255414,20895824.0,90.59237542,111730635.0,5402866.65,46.27,53313307.0,760.849242,555984.0,98739.0,42873.0,1651.0,2645.0,375763333.3333333,422700000.0,3586600000.0,375763333.3333333,422700000.0,3586600000.0,1999.5869461250002,24.71731147470588,3.8420017286470585,44.740473330588244,14.600936126875002,11.926545630176472,11.034801008588236,0.4420617391,107037128.1,2016
2017,16.10817132,15.11295848,63.85224909,13.74536611,17151100.0,16.63167099,20752554.0,91.62670695,114329353.0,6370950.0,46.91,58537832.0,928.8355098,567921.0,108590.0,43154.0,1635.0,2598.0,375763333.3333333,1006900000.0,5795800000.0,375763333.3333333,1006900000.0,6613800000.0,1999.5869461250002,24.71731147470588,3.8420017286470585,44.740473330588244,14.600936126875002,11.926545630176472,11.034801008588236,0.2915769612,80600436.0,2017
2018,18.507953196666666,17.130351535555555,65.77263448,14.64297695,18478088.0,16.92791553,21361470.0,93.00775505,117367219.0,6980300.0,49.07,64569640.0,1090.37819,590727.0,109355.0,46468.0,1627.0,2322.0,537300000.0,589360000.0,3485650000.0,537300000.0,589360000.0,3597650000.0,1999.5869461250002,24.71731147470588,3.8420017286470585,44.740473330588244,14.600936126875002,11.926545630176472,11.034801008588236,3.041741198978947,433816942.4052631,2018
2019,18.507953196666666,17.130351535555555,30.044475573049993,6.913037358947369,8203597.2105263155,16.335947008999998,18330852.5,61.12858299794999,70756503.1,3545091.2826315793,36.86266666666667,30717258.926999997,588.60463227,380912.39235499996,71826.6,31781.4,1283.25,1860.0,375763333.3333333,1373637500.0,1787950000.0,375763333.3333333,1373637500.0,1878344736.8421052,1999.5869461250002,24.71731147470588,3.8420017286470585,44.740473330588244,14.600936126875002,11.926545630176472,11.034801008588236,3.041741198978947,433816942.4052631,2019
