,LOCATION,INDICATOR,TIME,Value
218,ITA,MEDICALDOC,2007,3.8
219,ITA,MEDICALDOC,2008,3.79
220,ITA,MEDICALDOC,2009,3.79
221,ITA,MEDICALDOC,2010,3.82
222,ITA,MEDICALDOC,2011,3.9
223,ITA,MEDICALDOC,2012,3.87
224,ITA,MEDICALDOC,2013,3.9
225,ITA,MEDICALDOC,2014,3.88
226,ITA,MEDICALDOC,2015,3.84
227,ITA,MEDICALDOC,2016,3.95
228,ITA,MEDICALDOC,2017,3.99
229,ITA,MEDICALDOC,2018,3.99
230,JPN,MEDICALDOC,2000,1.93
231,JPN,MEDICALDOC,2002,1.98
232,JPN,MEDICALDOC,2004,2.03
233,JPN,MEDICALDOC,2006,2.08
234,JPN,MEDICALDOC,2008,2.15
235,JPN,MEDICALDOC,2010,2.21
236,JPN,MEDICALDOC,2012,2.29
237,JPN,MEDICALDOC,2014,2.36
238,JPN,MEDICALDOC,2016,2.43
239,KOR,MEDICALDOC,1999,1.31
240,KOR,MEDICALDOC,2000,1.3
241,KOR,MEDICALDOC,2001,1.39
242,KOR,MEDICALDOC,2002,1.49
243,KOR,MEDICALDOC,2003,1.57
244,KOR,MEDICALDOC,2004,1.56
245,KOR,MEDICALDOC,2005,1.63
246,KOR,MEDICALDOC,2006,1.69
247,KOR,MEDICALDOC,2007,1.73
248,KOR,MEDICALDOC,2008,1.85
249,KOR,MEDICALDOC,2009,1.92
250,KOR,MEDICALDOC,2010,1.98
251,KOR,MEDICALDOC,2011,2.03
252,KOR,MEDICALDOC,2012,2.07
253,KOR,MEDICALDOC,2013,2.16
254,KOR,MEDICALDOC,2014,2.2
255,KOR,MEDICALDOC,2015,2.24
256,KOR,MEDICALDOC,2016,2.29
257,KOR,MEDICALDOC,2017,2.34
258,LUX,MEDICALDOC,1999,2.49
259,LUX,MEDICALDOC,2000,2.15
260,LUX,MEDICALDOC,2001,2.21
261,LUX,MEDICALDOC,2002,2.26
262,LUX,MEDICALDOC,2003,2.38
263,LUX,MEDICALDOC,2004,2.42
264,LUX,MEDICALDOC,2005,2.55
265,LUX,MEDICALDOC,2006,2.61
266,LUX,MEDICALDOC,2007,2.68
267,LUX,MEDICALDOC,2008,2.72
268,LUX,MEDICALDOC,2009,2.7
269,LUX,MEDICALDOC,2010,2.77
270,LUX,MEDICALDOC,2011,2.78
271,LUX,MEDICALDOC,2012,2.81
272,LUX,MEDICALDOC,2013,2.83
273,LUX,MEDICALDOC,2014,2.88
274,LUX,MEDICALDOC,2015,2.91
275,LUX,MEDICALDOC,2016,2.88
276,LUX,MEDICALDOC,2017,2.98
277,MEX,MEDICALDOC,1999,1.67
278,MEX,MEDICALDOC,2000,1.59
279,MEX,MEDICALDOC,2001,1.49
280,MEX,MEDICALDOC,2002,1.5
281,MEX,MEDICALDOC,2003,1.55
282,MEX,MEDICALDOC,2004,1.63
283,MEX,MEDICALDOC,2005,1.75
284,MEX,MEDICALDOC,2006,1.87
285,MEX,MEDICALDOC,2007,1.91
286,MEX,MEDICALDOC,2008,1.94
287,MEX,MEDICALDOC,2009,1.97
288,MEX,MEDICALDOC,2010,2.0
289,MEX,MEDICALDOC,2011,2.1
290,MEX,MEDICALDOC,2012,2.12
291,MEX,MEDICALDOC,2013,2.17
292,MEX,MEDICALDOC,2014,2.25
293,MEX,MEDICALDOC,2015,2.35
294,MEX,MEDICALDOC,2016,2.36
295,MEX,MEDICALDOC,2017,2.43
296,NLD,MEDICALDOC,1999,2.38
297,NLD,MEDICALDOC,2000,2.44
298,NLD,MEDICALDOC,2001,2.51
299,NLD,MEDICALDOC,2002,2.58
300,NLD,MEDICALDOC,2003,2.62
301,NLD,MEDICALDOC,2004,2.65
302,NLD,MEDICALDOC,2005,2.71
303,NLD,MEDICALDOC,2006,2.8
304,NLD,MEDICALDOC,2007,2.79
305,NLD,MEDICALDOC,2008,2.87
306,NLD,MEDICALDOC,2009,2.92
307,NLD,MEDICALDOC,2010,2.96
308,NLD,MEDICALDOC,2011,3.13
309,NLD,MEDICALDOC,2012,3.25
310,NLD,MEDICALDOC,2013,3.31
311,NZL,MEDICALDOC,2000,2.23
312,NZL,MEDICALDOC,2001,2.19
313,NZL,MEDICALDOC,2002,2.13
314,NZL,MEDICALDOC,2003,2.17
315,NZL,MEDICALDOC,2004,2.19
316,NZL,MEDICALDOC,2005,2.11
317,NZL,MEDICALDOC,2006,2.27
318,NZL,MEDICALDOC,2007,2.3
319,NZL,MEDICALDOC,2008,2.46
320,NZL,MEDICALDOC,2009,2.58
321,NZL,MEDICALDOC,2010,2.62
322,NZL,MEDICALDOC,2011,2.65
323,NZL,MEDICALDOC,2012,2.72
324,NZL,MEDICALDOC,2013,2.83
325,NZL,MEDICALDOC,2014,2.9
326,NZL,MEDICALDOC,2015,3.04
327,NZL,MEDICALDOC,2016,3.13
328,NZL,MEDICALDOC,2017,3.27
329,NZL,MEDICALDOC,2018,3.33
330,NOR,MEDICALDOC,1999,3.29
331,NOR,MEDICALDOC,2000,3.38
332,NOR,MEDICALDOC,2001,3.54
333,NOR,MEDICALDOC,2002,3.27
334,NOR,MEDICALDOC,2003,3.28
335,NOR,MEDICALDOC,2004,3.44
336,NOR,MEDICALDOC,2005,3.62
337,NOR,MEDICALDOC,2006,3.79
338,NOR,MEDICALDOC,2007,3.9
339,NOR,MEDICALDOC,2008,4.0
340,NOR,MEDICALDOC,2009,4.05
341,NOR,MEDICALDOC,2010,4.11
342,NOR,MEDICALDOC,2011,4.19
343,NOR,MEDICALDOC,2012,4.23
344,NOR,MEDICALDOC,2013,4.31
345,NOR,MEDICALDOC,2014,4.43
346,NOR,MEDICALDOC,2015,4.4
347,NOR,MEDICALDOC,2016,4.51
348,NOR,MEDICALDOC,2017,4.66
349,NOR,MEDICALDOC,2018,4.82
350,POL,MEDICALDOC,1999,2.26
351,POL,MEDICALDOC,2000,2.22
352,POL,MEDICALDOC,2001,2.27
353,POL,MEDICALDOC,2002,2.3
354,POL,MEDICALDOC,2003,2.43
355,POL,MEDICALDOC,2004,2.29
356,POL,MEDICALDOC,2005,2.14
357,POL,MEDICALDOC,2006,2.18
358,POL,MEDICALDOC,2007,2.19
359,POL,MEDICALDOC,2008,2.16
360,POL,MEDICALDOC,2009,2.17
361,POL,MEDICALDOC,2010,2.19
362,POL,MEDICALDOC,2011,2.21
363,POL,MEDICALDOC,2012,2.23
364,POL,MEDICALDOC,2013,2.24
365,POL,MEDICALDOC,2014,2.31
366,POL,MEDICALDOC,2015,2.33
367,POL,MEDICALDOC,2016,2.42
368,POL,MEDICALDOC,2017,2.38
369,SVK,MEDICALDOC,1999,3.32
370,SVK,MEDICALDOC,2000,3.35
371,SVK,MEDICALDOC,2001,3.35
372,SVK,MEDICALDOC,2002,3.33
373,SVK,MEDICALDOC,2003,3.29
374,SVK,MEDICALDOC,2004,3.32
375,SVK,MEDICALDOC,2005,3.04
376,SVK,MEDICALDOC,2006,3.17
377,SVK,MEDICALDOC,2007,3.39
378,SVK,MEDICALDOC,2008,3.37
379,SVK,MEDICALDOC,2009,3.3
380,SVK,MEDICALDOC,2010,3.36
381,SVK,MEDICALDOC,2011,3.31
382,SVK,MEDICALDOC,2012,3.36
383,SVK,MEDICALDOC,2013,3.39
384,SVK,MEDICALDOC,2014,3.43
385,SVK,MEDICALDOC,2015,3.45
386,SVK,MEDICALDOC,2016,3.47
387,SVK,MEDICALDOC,2017,3.42
388,ESP,MEDICALDOC,1999,3.05
389,ESP,MEDICALDOC,2000,3.14
390,ESP,MEDICALDOC,2001,3.14
391,ESP,MEDICALDOC,2002,3.13
392,ESP,MEDICALDOC,2003,3.22
393,ESP,MEDICALDOC,2004,3.44
394,ESP,MEDICALDOC,2005,3.55
395,ESP,MEDICALDOC,2006,3.62
396,ESP,MEDICALDOC,2007,3.56
397,ESP,MEDICALDOC,2008,3.54
398,ESP,MEDICALDOC,2009,3.6
399,ESP,MEDICALDOC,2010,3.76
400,ESP,MEDICALDOC,2011,3.84
401,ESP,MEDICALDOC,2012,3.82
402,ESP,MEDICALDOC,2013,3.81
403,ESP,MEDICALDOC,2014,3.8
404,ESP,MEDICALDOC,2015,3.85
405,ESP,MEDICALDOC,2016,3.82
406,ESP,MEDICALDOC,2017,3.88
407,SWE,MEDICALDOC,1999,3.01
408,SWE,MEDICALDOC,2000,3.08
409,SWE,MEDICALDOC,2001,3.18
410,SWE,MEDICALDOC,2002,3.28
411,SWE,MEDICALDOC,2003,3.35
412,SWE,MEDICALDOC,2004,3.44
413,SWE,MEDICALDOC,2005,3.51
414,SWE,MEDICALDOC,2006,3.6
415,SWE,MEDICALDOC,2007,3.68
416,SWE,MEDICALDOC,2008,3.74
417,SWE,MEDICALDOC,2009,3.81
418,SWE,MEDICALDOC,2010,3.88
419,SWE,MEDICALDOC,2011,3.96
420,SWE,MEDICALDOC,2012,4.05
421,SWE,MEDICALDOC,2013,4.13
422,SWE,MEDICALDOC,2014,4.2
423,SWE,MEDICALDOC,2015,4.27
424,SWE,MEDICALDOC,2016,4.12
425,CHE,MEDICALDOC,2003,3.65
426,CHE,MEDICALDOC,2004,3.69
427,CHE,MEDICALDOC,2005,3.74
428,CHE,MEDICALDOC,2006,3.79
429,CHE,MEDICALDOC,2007,3.78
430,CHE,MEDICALDOC,2008,3.82
431,CHE,MEDICALDOC,2009,3.83
432,CHE,MEDICALDOC,2010,3.81
433,CHE,MEDICALDOC,2011,3.83
434,CHE,MEDICALDOC,2012,3.92
435,CHE,MEDICALDOC,2013,4.04
436,CHE,MEDICALDOC,2014,4.13
437,CHE,MEDICALDOC,2015,4.2
438,CHE,MEDICALDOC,2016,4.25
439,CHE,MEDICALDOC,2017,4.3
440,TUR,MEDICALDOC,1999,1.2
441,TUR,MEDICALDOC,2000,1.3
442,TUR,MEDICALDOC,2001,1.38
443,TUR,MEDICALDOC,2002,1.39
444,TUR,MEDICALDOC,2003,1.41
445,TUR,MEDICALDOC,2004,1.44
446,TUR,MEDICALDOC,2005,1.47
447,TUR,MEDICALDOC,2006,1.51
448,TUR,MEDICALDOC,2007,1.55
449,TUR,MEDICALDOC,2008,1.59
450,TUR,MEDICALDOC,2009,1.65
451,TUR,MEDICALDOC,2010,1.69
452,TUR,MEDICALDOC,2011,1.7
453,TUR,MEDICALDOC,2012,1.73
454,TUR,MEDICALDOC,2013,1.76
455,TUR,MEDICALDOC,2014,1.76
456,TUR,MEDICALDOC,2015,1.81
457,TUR,MEDICALDOC,2016,1.83
458,TUR,MEDICALDOC,2017,1.87
459,GBR,MEDICALDOC,1999,1.91
460,GBR,MEDICALDOC,2000,1.98
461,GBR,MEDICALDOC,2001,2.03
462,GBR,MEDICALDOC,2002,2.1
463,GBR,MEDICALDOC,2003,2.19
464,GBR,MEDICALDOC,2004,2.32
465,GBR,MEDICALDOC,2005,2.4
466,GBR,MEDICALDOC,2006,2.45
467,GBR,MEDICALDOC,2007,2.48
468,GBR,MEDICALDOC,2008,2.57
469,GBR,MEDICALDOC,2009,2.64
470,GBR,MEDICALDOC,2010,2.65
471,GBR,MEDICALDOC,2011,2.69
472,GBR,MEDICALDOC,2012,2.7
473,GBR,MEDICALDOC,2013,2.71
474,GBR,MEDICALDOC,2014,2.75
475,GBR,MEDICALDOC,2015,2.77
476,GBR,MEDICALDOC,2016,2.78
477,GBR,MEDICALDOC,2017,2.81
478,GBR,MEDICALDOC,2018,2.85
479,USA,MEDICALDOC,1999,2.24
480,USA,MEDICALDOC,2000,2.29
481,USA,MEDICALDOC,2001,2.35
482,USA,MEDICALDOC,2002,2.35
483,USA,MEDICALDOC,2003,2.38
484,USA,MEDICALDOC,2004,2.39
485,USA,MEDICALDOC,2005,2.43
486,USA,MEDICALDOC,2006,2.42
487,USA,MEDICALDOC,2007,2.43
488,USA,MEDICALDOC,2008,2.44
489,USA,MEDICALDOC,2009,2.44
490,USA,MEDICALDOC,2010,2.43
491,USA,MEDICALDOC,2011,2.46
492,USA,MEDICALDOC,2012,2.5
493,USA,MEDICALDOC,2013,2.56
494,USA,MEDICALDOC,2014,2.57
495,USA,MEDICALDOC,2015,2.58
496,USA,MEDICALDOC,2016,2.58
497,USA,MEDICALDOC,2017,2.61
498,BRA,MEDICALDOC,1999,1.38
499,BRA,MEDICALDOC,2000,1.36
500,BRA,MEDICALDOC,2001,1.4
501,BRA,MEDICALDOC,2002,1.43
502,BRA,MEDICALDOC,2003,1.48
503,BRA,MEDICALDOC,2004,1.6
504,BRA,MEDICALDOC,2005,1.68
505,BRA,MEDICALDOC,2006,1.71
506,BRA,MEDICALDOC,2007,1.74
507,BRA,MEDICALDOC,2008,1.79
508,BRA,MEDICALDOC,2009,1.83
509,BRA,MEDICALDOC,2010,1.82
510,CHN,MEDICALDOC,1999,1.22
511,CHN,MEDICALDOC,2000,1.25
512,CHN,MEDICALDOC,2001,1.27
513,CHN,MEDICALDOC,2002,1.13
514,CHN,MEDICALDOC,2003,1.17
515,CHN,MEDICALDOC,2004,1.2
516,CHN,MEDICALDOC,2005,1.23
517,CHN,MEDICALDOC,2006,1.26
518,CHN,MEDICALDOC,2007,1.28
519,CHN,MEDICALDOC,2008,1.33
520,CHN,MEDICALDOC,2009,1.41
521,CHN,MEDICALDOC,2010,1.45
522,CHN,MEDICALDOC,2011,1.48
523,CHN,MEDICALDOC,2012,1.56
524,CHN,MEDICALDOC,2013,1.65
525,CHN,MEDICALDOC,2014,1.71
526,CHN,MEDICALDOC,2015,1.8
527,CHN,MEDICALDOC,2016,1.89
528,CHN,MEDICALDOC,2017,2.01
529,EST,MEDICALDOC,1999,3.17
530,EST,MEDICALDOC,2000,3.13
531,EST,MEDICALDOC,2001,3.06
532,EST,MEDICALDOC,2002,3.09
533,EST,MEDICALDOC,2003,3.12
534,EST,MEDICALDOC,2004,3.18
535,EST,MEDICALDOC,2005,3.15
536,EST,MEDICALDOC,2006,3.18
537,EST,MEDICALDOC,2007,3.26
538,EST,MEDICALDOC,2008,3.34
539,EST,MEDICALDOC,2009,3.28
540,EST,MEDICALDOC,2010,3.24
541,EST,MEDICALDOC,2011,3.29
542,EST,MEDICALDOC,2012,3.28
543,EST,MEDICALDOC,2013,3.33
544,EST,MEDICALDOC,2014,3.36
545,EST,MEDICALDOC,2015,3.41
546,EST,MEDICALDOC,2016,3.46
547,EST,MEDICALDOC,2017,3.47
548,IND,MEDICALDOC,1999,0.52
549,IND,MEDICALDOC,2000,0.53
550,IND,MEDICALDOC,2001,0.54
551,IND,MEDICALDOC,2002,0.56
552,IND,MEDICALDOC,2003,0.56
553,IND,MEDICALDOC,2004,0.57
554,IND,MEDICALDOC,2005,0.59
555,IND,MEDICALDOC,2006,0.6
556,IND,MEDICALDOC,2007,0.62
557,IND,MEDICALDOC,2008,0.64
558,IND,MEDICALDOC,2009,0.65
559,IND,MEDICALDOC,2010,0.69
560,IND,MEDICALDOC,2011,0.74
561,IND,MEDICALDOC,2012,0.7
562,IND,MEDICALDOC,2013,0.72
563,IND,MEDICALDOC,2014,0.73
564,IND,MEDICALDOC,2015,0.73
565,IND,MEDICALDOC,2016,0.76
566,IND,MEDICALDOC,2017,0.78
567,IDN,MEDICALDOC,2012,0.31
568,IDN,MEDICALDOC,2013,0.32
569,ISR,MEDICALDOC,1999,3.62
570,ISR,MEDICALDOC,2000,3.45
571,ISR,MEDICALDOC,2001,3.27
572,ISR,MEDICALDOC,2002,3.28
573,ISR,MEDICALDOC,2003,3.36
574,ISR,MEDICALDOC,2004,3.34
575,ISR,MEDICALDOC,2005,3.22
576,ISR,MEDICALDOC,2006,3.21
577,ISR,MEDICALDOC,2007,3.28
578,ISR,MEDICALDOC,2008,3.42
579,ISR,MEDICALDOC,2009,3.46
580,ISR,MEDICALDOC,2010,3.32
581,ISR,MEDICALDOC,2011,3.26
582,ISR,MEDICALDOC,2012,2.97
583,ISR,MEDICALDOC,2013,2.94
584,ISR,MEDICALDOC,2014,2.98
585,ISR,MEDICALDOC,2015,3.07
586,ISR,MEDICALDOC,2016,3.08
587,ISR,MEDICALDOC,2017,3.14
588,RUS,MEDICALDOC,1999,4.64
589,RUS,MEDICALDOC,2000,4.64
590,RUS,MEDICALDOC,2001,4.64
591,RUS,MEDICALDOC,2002,4.7
592,RUS,MEDICALDOC,2003,4.75
593,RUS,MEDICALDOC,2004,4.79
594,RUS,MEDICALDOC,2005,4.82
595,RUS,MEDICALDOC,2006,4.93
596,RUS,MEDICALDOC,2007,4.98
597,RUS,MEDICALDOC,2008,4.96
598,RUS,MEDICALDOC,2009,5.01
599,RUS,MEDICALDOC,2010,5.03
600,RUS,MEDICALDOC,2011,4.25
601,RUS,MEDICALDOC,2012,4.03
602,RUS,MEDICALDOC,2013,4.02
603,RUS,MEDICALDOC,2014,4.15
604,RUS,MEDICALDOC,2015,3.9
605,RUS,MEDICALDOC,2016,3.94
606,RUS,MEDICALDOC,2017,4.04
607,SVN,MEDICALDOC,1999,2.13
608,SVN,MEDICALDOC,2000,2.15
609,SVN,MEDICALDOC,2001,2.17
610,SVN,MEDICALDOC,2002,2.23
611,SVN,MEDICALDOC,2003,2.25
612,SVN,MEDICALDOC,2004,2.3
613,SVN,MEDICALDOC,2005,2.35
614,SVN,MEDICALDOC,2006,2.36
615,SVN,MEDICALDOC,2007,2.39
616,SVN,MEDICALDOC,2008,2.4
617,SVN,MEDICALDOC,2009,2.41
618,SVN,MEDICALDOC,2010,2.43
619,SVN,MEDICALDOC,2011,2.49
620,SVN,MEDICALDOC,2012,2.54
621,SVN,MEDICALDOC,2013,2.63
622,SVN,MEDICALDOC,2014,2.77
623,SVN,MEDICALDOC,2015,2.83
624,SVN,MEDICALDOC,2016,3.01
625,SVN,MEDICALDOC,2017,3.1
626,ZAF,MEDICALDOC,2007,0.7
627,ZAF,MEDICALDOC,2008,0.7
628,ZAF,MEDICALDOC,2009,0.71
629,ZAF,MEDICALDOC,2010,0.73
630,ZAF,MEDICALDOC,2011,0.73
631,ZAF,MEDICALDOC,2012,0.73
632,ZAF,MEDICALDOC,2013,0.75
633,ZAF,MEDICALDOC,2014,0.76
634,ZAF,MEDICALDOC,2015,0.79
635,COL,MEDICALDOC,1999,1.18
636,COL,MEDICALDOC,2000,1.23
