Country,Variable,Year,Value
Australia,"Gamma cameras, total",2011,452.0
Australia,"Gamma cameras, total",2012,456.0
Australia,"Gamma cameras, total",2013,462.0
Australia,"Gamma cameras, total",2014,460.0
Australia,"Gamma cameras, total",2015,462.0
Australia,"Gamma cameras, total",2016,465.0
Australia,"Gamma cameras, total",2017,464.0
Australia,"Gamma cameras, total",2018,470.0
Australia,"Mammographs, total",2005,511.0
Australia,"Mammographs, total",2006,506.0
Australia,"Mammographs, total",2007,508.0
Australia,"Mammographs, total",2008,500.0
Australia,"Mammographs, total",2009,534.0
Australia,"Mammographs, total",2010,533.0
Australia,"Mammographs, total",2011,520.0
Australia,"Mammographs, total",2012,517.0
Australia,"Mammographs, total",2013,521.0
Australia,"Mammographs, total",2014,540.0
Australia,"Mammographs, total",2015,547.0
Australia,"Mammographs, total",2016,562.0
Australia,"Mammographs, total",2017,571.0
Australia,"Mammographs, total",2018,593.0
Australia,"Radiation therapy equipment, total",2000,99.0
Australia,"Radiation therapy equipment, total",2001,99.0
Australia,"Radiation therapy equipment, total",2002,107.0
Australia,"Radiation therapy equipment, total",2005,123.0
Australia,"Radiation therapy equipment, total",2006,127.0
Australia,"Radiation therapy equipment, total",2008,168.0
Australia,"Radiation therapy equipment, total",2009,193.0
Australia,"Radiation therapy equipment, total",2010,205.0
Australia,"Radiation therapy equipment, total",2011,205.0
Australia,"Radiation therapy equipment, total",2012,221.0
Australia,"Radiation therapy equipment, total",2013,234.0
Australia,"Radiation therapy equipment, total",2014,248.0
Australia,"Radiation therapy equipment, total",2015,258.0
Australia,"Radiation therapy equipment, total",2016,259.0
Australia,"Radiation therapy equipment, total",2017,256.0
Australia,"Radiation therapy equipment, total",2018,265.0
Austria,"Computed Tomography scanners, total",2000,209.0
Austria,"Computed Tomography scanners, total",2001,214.0
Austria,"Computed Tomography scanners, total",2002,219.0
Austria,"Computed Tomography scanners, total",2003,221.0
Austria,"Computed Tomography scanners, total",2004,239.0
Austria,"Computed Tomography scanners, total",2005,244.0
Austria,"Computed Tomography scanners, total",2006,247.0
Austria,"Computed Tomography scanners, total",2007,249.0
Austria,"Computed Tomography scanners, total",2008,247.0
Austria,"Computed Tomography scanners, total",2009,245.0
Austria,"Computed Tomography scanners, total",2010,250.0
Austria,"Computed Tomography scanners, total",2011,248.0
Austria,"Computed Tomography scanners, total",2012,251.0
Austria,"Computed Tomography scanners, total",2013,251.0
Austria,"Computed Tomography scanners, total",2014,251.0
Austria,"Computed Tomography scanners, total",2015,250.0
Austria,"Computed Tomography scanners, total",2016,254.0
Austria,"Computed Tomography scanners, total",2017,252.0
Austria,"Computed Tomography scanners, in hospitals",2000,131.0
Austria,"Computed Tomography scanners, in hospitals",2001,133.0
Austria,"Computed Tomography scanners, in hospitals",2002,136.0
Austria,"Computed Tomography scanners, in hospitals",2003,137.0
Austria,"Computed Tomography scanners, in hospitals",2004,152.0
Austria,"Computed Tomography scanners, in hospitals",2005,157.0
Austria,"Computed Tomography scanners, in hospitals",2006,160.0
Austria,"Computed Tomography scanners, in hospitals",2007,161.0
Austria,"Computed Tomography scanners, in hospitals",2008,159.0
Austria,"Computed Tomography scanners, in hospitals",2009,156.0
Austria,"Computed Tomography scanners, in hospitals",2010,162.0
Austria,"Computed Tomography scanners, in hospitals",2011,159.0
Austria,"Computed Tomography scanners, in hospitals",2012,161.0
Austria,"Computed Tomography scanners, in hospitals",2013,159.0
Austria,"Computed Tomography scanners, in hospitals",2014,159.0
Austria,"Computed Tomography scanners, in hospitals",2015,157.0
Austria,"Computed Tomography scanners, in hospitals",2016,157.0
Austria,"Computed Tomography scanners, in hospitals",2017,154.0
Austria,"Computed Tomography scanners, in ambulatory sector",2000,78.0
Austria,"Computed Tomography scanners, in ambulatory sector",2001,81.0
Austria,"Computed Tomography scanners, in ambulatory sector",2002,83.0
Austria,"Computed Tomography scanners, in ambulatory sector",2003,84.0
Austria,"Computed Tomography scanners, in ambulatory sector",2004,87.0
Austria,"Computed Tomography scanners, in ambulatory sector",2005,87.0
Austria,"Computed Tomography scanners, in ambulatory sector",2006,87.0
Austria,"Computed Tomography scanners, in ambulatory sector",2007,88.0
Austria,"Computed Tomography scanners, in ambulatory sector",2008,88.0
Austria,"Computed Tomography scanners, in ambulatory sector",2009,89.0
Austria,"Computed Tomography scanners, in ambulatory sector",2010,88.0
Austria,"Computed Tomography scanners, in ambulatory sector",2011,89.0
Austria,"Computed Tomography scanners, in ambulatory sector",2012,90.0
Austria,"Computed Tomography scanners, in ambulatory sector",2013,92.0
Austria,"Computed Tomography scanners, in ambulatory sector",2014,92.0
Austria,"Computed Tomography scanners, in ambulatory sector",2015,93.0
Austria,"Computed Tomography scanners, in ambulatory sector",2016,97.0
Austria,"Computed Tomography scanners, in ambulatory sector",2017,98.0
Austria,"Magnetic Resonance Imaging units, total",2000,88.0
Austria,"Magnetic Resonance Imaging units, total",2001,94.0
Austria,"Magnetic Resonance Imaging units, total",2002,108.0
Austria,"Magnetic Resonance Imaging units, total",2003,110.0
Austria,"Magnetic Resonance Imaging units, total",2004,130.0
Austria,"Magnetic Resonance Imaging units, total",2005,133.0
Austria,"Magnetic Resonance Imaging units, total",2006,139.0
Austria,"Magnetic Resonance Imaging units, total",2007,147.0
Austria,"Magnetic Resonance Imaging units, total",2008,150.0
Austria,"Magnetic Resonance Imaging units, total",2009,154.0
Austria,"Magnetic Resonance Imaging units, total",2010,156.0
Austria,"Magnetic Resonance Imaging units, total",2011,157.0
Austria,"Magnetic Resonance Imaging units, total",2012,161.0
Austria,"Magnetic Resonance Imaging units, total",2013,163.0
Austria,"Magnetic Resonance Imaging units, total",2014,168.0
Austria,"Magnetic Resonance Imaging units, total",2015,179.0
Austria,"Magnetic Resonance Imaging units, total",2016,196.0
Austria,"Magnetic Resonance Imaging units, total",2017,202.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2000,49.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2001,53.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2002,58.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2003,59.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2004,75.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2005,77.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2006,79.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2007,83.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2008,85.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2009,85.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2010,86.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2011,86.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2012,88.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2013,88.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2014,89.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2015,92.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2016,96.0
Austria,"Magnetic Resonance Imaging units, in hospitals",2017,98.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2000,39.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2001,41.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2002,50.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2003,51.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2004,55.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2005,56.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2006,60.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2007,64.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2008,65.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2009,69.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2010,70.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2011,71.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2012,73.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2013,75.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2014,79.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2015,87.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2016,100.0
Austria,"Magnetic Resonance Imaging units, in ambulatory sector",2017,104.0
Austria,"Positron Emission Tomography (PET) scanners, total",2000,9.0
Austria,"Positron Emission Tomography (PET) scanners, total",2001,11.0
Austria,"Positron Emission Tomography (PET) scanners, total",2002,12.0
Austria,"Positron Emission Tomography (PET) scanners, total",2003,13.0
Austria,"Positron Emission Tomography (PET) scanners, total",2004,14.0
Austria,"Positron Emission Tomography (PET) scanners, total",2005,16.0
Austria,"Positron Emission Tomography (PET) scanners, total",2006,16.0
Austria,"Positron Emission Tomography (PET) scanners, total",2007,16.0
Austria,"Positron Emission Tomography (PET) scanners, total",2008,17.0
Austria,"Positron Emission Tomography (PET) scanners, total",2009,17.0
Austria,"Positron Emission Tomography (PET) scanners, total",2010,16.0
Austria,"Positron Emission Tomography (PET) scanners, total",2011,17.0
Austria,"Positron Emission Tomography (PET) scanners, total",2012,17.0
Austria,"Positron Emission Tomography (PET) scanners, total",2013,18.0
Austria,"Positron Emission Tomography (PET) scanners, total",2014,19.0
Austria,"Positron Emission Tomography (PET) scanners, total",2015,20.0
Austria,"Positron Emission Tomography (PET) scanners, total",2016,23.0
Austria,"Positron Emission Tomography (PET) scanners, total",2017,24.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2000,9.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2001,10.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2002,11.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2003,12.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2004,13.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2005,15.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2006,15.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2007,15.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2008,16.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2009,16.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2010,15.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2011,16.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2012,16.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2013,16.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2014,17.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2015,17.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2016,19.0
Austria,"Positron Emission Tomography (PET) scanners, in hospitals",2017,20.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2000,0.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2001,1.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2002,1.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2003,1.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2004,1.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2005,1.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2006,1.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2007,1.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2008,1.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2009,1.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2010,1.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2011,1.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2012,1.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2013,2.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2014,2.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2015,3.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2016,4.0
Austria,"Positron Emission Tomography (PET) scanners, in ambulatory sector",2017,4.0
Austria,"Gamma cameras, total",2000,103.0
Austria,"Gamma cameras, total",2001,105.0
Austria,"Gamma cameras, total",2002,107.0
Austria,"Gamma cameras, total",2003,107.0
Austria,"Gamma cameras, total",2004,108.0
Austria,"Gamma cameras, total",2005,109.0
Austria,"Gamma cameras, total",2006,102.0
Austria,"Gamma cameras, total",2007,96.0
Austria,"Gamma cameras, total",2008,101.0
Austria,"Gamma cameras, total",2009,101.0
Austria,"Gamma cameras, total",2010,102.0
Austria,"Gamma cameras, total",2011,100.0
Austria,"Gamma cameras, total",2012,102.0
Austria,"Gamma cameras, total",2013,100.0
Austria,"Gamma cameras, total",2014,99.0
Austria,"Gamma cameras, total",2015,98.0
Austria,"Gamma cameras, total",2016,93.0
Austria,"Gamma cameras, total",2017,93.0
Austria,"Gamma cameras, in hospitals",2000,80.0
Austria,"Gamma cameras, in hospitals",2001,80.0
Austria,"Gamma cameras, in hospitals",2002,79.0
Austria,"Gamma cameras, in hospitals",2003,79.0
Austria,"Gamma cameras, in hospitals",2004,79.0
Austria,"Gamma cameras, in hospitals",2005,81.0
Austria,"Gamma cameras, in hospitals",2006,75.0
Austria,"Gamma cameras, in hospitals",2007,70.0
Austria,"Gamma cameras, in hospitals",2008,75.0
Austria,"Gamma cameras, in hospitals",2009,75.0
Austria,"Gamma cameras, in hospitals",2010,76.0
Austria,"Gamma cameras, in hospitals",2011,75.0
Austria,"Gamma cameras, in hospitals",2012,77.0
Austria,"Gamma cameras, in hospitals",2013,77.0
Austria,"Gamma cameras, in hospitals",2014,76.0
Austria,"Gamma cameras, in hospitals",2015,75.0
Austria,"Gamma cameras, in hospitals",2016,71.0
Austria,"Gamma cameras, in hospitals",2017,71.0
Austria,"Gamma cameras, in ambulatory sector",2000,23.0
Austria,"Gamma cameras, in ambulatory sector",2001,25.0
Austria,"Gamma cameras, in ambulatory sector",2002,28.0
Austria,"Gamma cameras, in ambulatory sector",2003,28.0
Austria,"Gamma cameras, in ambulatory sector",2004,29.0
Austria,"Gamma cameras, in ambulatory sector",2005,28.0
Austria,"Gamma cameras, in ambulatory sector",2006,27.0
Austria,"Gamma cameras, in ambulatory sector",2007,26.0
Austria,"Gamma cameras, in ambulatory sector",2008,26.0
Austria,"Gamma cameras, in ambulatory sector",2009,26.0
Austria,"Gamma cameras, in ambulatory sector",2010,26.0
Austria,"Gamma cameras, in ambulatory sector",2011,25.0
Austria,"Gamma cameras, in ambulatory sector",2012,25.0
Austria,"Gamma cameras, in ambulatory sector",2013,23.0
Austria,"Gamma cameras, in ambulatory sector",2014,23.0
Austria,"Gamma cameras, in ambulatory sector",2015,23.0
Austria,"Gamma cameras, in ambulatory sector",2016,22.0
Austria,"Gamma cameras, in ambulatory sector",2017,22.0
Austria,"Mammographs, total",2013,189.0
Austria,"Mammographs, total",2014,201.0
Austria,"Mammographs, total",2015,202.0
Austria,"Mammographs, total",2016,199.0
Austria,"Mammographs, total",2017,192.0
Austria,"Mammographs, in hospitals",2013,26.0
Austria,"Mammographs, in hospitals",2014,24.0
Austria,"Mammographs, in hospitals",2015,22.0
Austria,"Mammographs, in hospitals",2016,21.0
Austria,"Mammographs, in hospitals",2017,20.0
Austria,"Mammographs, in ambulatory sector",2013,163.0
Austria,"Mammographs, in ambulatory sector",2014,177.0
Austria,"Mammographs, in ambulatory sector",2015,180.0
Austria,"Mammographs, in ambulatory sector",2016,178.0
Austria,"Mammographs, in ambulatory sector",2017,172.0
Austria,"Radiation therapy equipment, total",2000,34.0
Austria,"Radiation therapy equipment, total",2001,36.0
Austria,"Radiation therapy equipment, total",2002,36.0
Austria,"Radiation therapy equipment, total",2003,36.0
Austria,"Radiation therapy equipment, total",2004,37.0
Austria,"Radiation therapy equipment, total",2005,38.0
Austria,"Radiation therapy equipment, total",2006,40.0
Austria,"Radiation therapy equipment, total",2007,40.0
Austria,"Radiation therapy equipment, total",2008,42.0
Austria,"Radiation therapy equipment, total",2009,42.0
Austria,"Radiation therapy equipment, total",2010,43.0
Austria,"Radiation therapy equipment, total",2011,40.0
Austria,"Radiation therapy equipment, total",2012,41.0
Austria,"Radiation therapy equipment, total",2013,42.0
Austria,"Radiation therapy equipment, total",2014,42.0
Austria,"Radiation therapy equipment, total",2015,42.0
Austria,"Radiation therapy equipment, total",2016,43.0
Austria,"Radiation therapy equipment, total",2017,47.0
Austria,"Radiation therapy equipment, in hospitals",2000,34.0
Austria,"Radiation therapy equipment, in hospitals",2001,36.0
Austria,"Radiation therapy equipment, in hospitals",2002,36.0
Austria,"Radiation therapy equipment, in hospitals",2003,36.0
Austria,"Radiation therapy equipment, in hospitals",2004,37.0
Austria,"Radiation therapy equipment, in hospitals",2005,38.0
Austria,"Radiation therapy equipment, in hospitals",2006,40.0
Austria,"Radiation therapy equipment, in hospitals",2007,40.0
Austria,"Radiation therapy equipment, in hospitals",2008,42.0
Austria,"Radiation therapy equipment, in hospitals",2009,42.0
Austria,"Radiation therapy equipment, in hospitals",2010,43.0
Austria,"Radiation therapy equipment, in hospitals",2011,40.0
Austria,"Radiation therapy equipment, in hospitals",2012,41.0
Austria,"Radiation therapy equipment, in hospitals",2013,42.0
Austria,"Radiation therapy equipment, in hospitals",2014,42.0
Austria,"Radiation therapy equipment, in hospitals",2015,42.0
Austria,"Radiation therapy equipment, in hospitals",2016,42.0
Austria,"Radiation therapy equipment, in hospitals",2017,46.0
Austria,"Radiation therapy equipment, in ambulatory sector",2000,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2001,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2002,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2003,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2004,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2005,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2006,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2007,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2008,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2009,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2010,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2011,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2012,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2013,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2014,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2015,0.0
Austria,"Radiation therapy equipment, in ambulatory sector",2016,1.0
Austria,"Radiation therapy equipment, in ambulatory sector",2017,1.0
Belgium,"Computed Tomography scanners, in hospitals",2003,107.0
Belgium,"Computed Tomography scanners, in hospitals",2004,114.0
Belgium,"Computed Tomography scanners, in hospitals",2005,131.0
Belgium,"Computed Tomography scanners, in hospitals",2006,127.0
Belgium,"Computed Tomography scanners, in hospitals",2007,134.0
Belgium,"Computed Tomography scanners, in hospitals",2008,143.0
Belgium,"Computed Tomography scanners, in hospitals",2009,146.0
Belgium,"Computed Tomography scanners, in hospitals",2010,144.0
Belgium,"Computed Tomography scanners, in hospitals",2011,144.0
Belgium,"Computed Tomography scanners, in hospitals",2012,159.0
Belgium,"Computed Tomography scanners, in hospitals",2013,248.0
Belgium,"Computed Tomography scanners, in hospitals",2014,236.0
Belgium,"Computed Tomography scanners, in hospitals",2015,258.0
Belgium,"Computed Tomography scanners, in hospitals",2016,262.0
Belgium,"Computed Tomography scanners, in hospitals",2017,262.0
Belgium,"Computed Tomography scanners, in hospitals",2018,264.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2000,61.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2001,72.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2002,68.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2003,71.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2004,73.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2005,73.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2006,75.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2007,80.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2008,111.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2009,115.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2010,116.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2011,118.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2012,118.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2013,121.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2014,132.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2015,132.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2016,132.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2017,132.0
Belgium,"Magnetic Resonance Imaging units, in hospitals",2018,133.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2002,23.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2003,23.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2004,27.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2005,27.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2006,26.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2007,22.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2008,23.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2009,27.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2010,28.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2011,26.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2012,27.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2013,28.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2014,30.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2015,29.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2016,24.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2017,30.0
Belgium,"Positron Emission Tomography (PET) scanners, in hospitals",2018,30.0
Belgium,"Gamma cameras, in hospitals",2000,292.0
Belgium,"Gamma cameras, in hospitals",2001,292.0
Belgium,"Gamma cameras, in hospitals",2002,320.0
Belgium,"Gamma cameras, in hospitals",2003,332.0
Belgium,"Gamma cameras, in hospitals",2004,335.0
Belgium,"Gamma cameras, in hospitals",2005,332.0
Belgium,"Gamma cameras, in hospitals",2006,325.0
Belgium,"Gamma cameras, in hospitals",2007,324.0
Belgium,"Gamma cameras, in hospitals",2008,317.0
Belgium,"Gamma cameras, in hospitals",2009,323.0
Belgium,"Gamma cameras, in hospitals",2010,322.0
Belgium,"Gamma cameras, in hospitals",2011,315.0
Belgium,"Gamma cameras, in hospitals",2012,320.0
Belgium,"Gamma cameras, in hospitals",2013,263.0
Belgium,"Gamma cameras, in hospitals",2014,290.0
Belgium,"Gamma cameras, in hospitals",2015,290.0
Belgium,"Gamma cameras, in hospitals",2016,290.0
Belgium,"Gamma cameras, in hospitals",2017,292.0
Belgium,"Mammographs, in hospitals",2002,212.0
Belgium,"Mammographs, in hospitals",2003,223.0
Belgium,"Mammographs, in hospitals",2004,222.0
Belgium,"Mammographs, in hospitals",2005,216.0
Belgium,"Mammographs, in hospitals",2006,205.0
Belgium,"Mammographs, in hospitals",2007,208.0
Belgium,"Mammographs, in hospitals",2008,209.0
Belgium,"Mammographs, in hospitals",2009,206.0
Belgium,"Mammographs, in hospitals",2010,205.0
Belgium,"Mammographs, in hospitals",2011,203.0
Belgium,"Mammographs, in hospitals",2012,199.0
Belgium,"Mammographs, in hospitals",2013,195.0
Belgium,"Mammographs, in hospitals",2014,195.0
Belgium,"Mammographs, in hospitals",2015,195.0
Belgium,"Mammographs, in hospitals",2016,199.0
Belgium,"Mammographs, in hospitals",2017,203.0
Belgium,"Radiation therapy equipment, in hospitals",2000,128.0
Belgium,"Radiation therapy equipment, in hospitals",2001,135.0
Belgium,"Radiation therapy equipment, in hospitals",2002,131.0
Belgium,"Radiation therapy equipment, in hospitals",2003,131.0
Belgium,"Radiation therapy equipment, in hospitals",2004,133.0
Belgium,"Radiation therapy equipment, in hospitals",2005,134.0
Belgium,"Radiation therapy equipment, in hospitals",2006,135.0
Belgium,"Radiation therapy equipment, in hospitals",2007,150.0
Belgium,"Radiation therapy equipment, in hospitals",2008,157.0
Belgium,"Radiation therapy equipment, in hospitals",2009,156.0
Belgium,"Radiation therapy equipment, in hospitals",2010,165.0
Belgium,"Radiation therapy equipment, in hospitals",2011,169.0
Belgium,"Radiation therapy equipment, in hospitals",2012,167.0
Belgium,"Radiation therapy equipment, in hospitals",2013,188.0
Belgium,"Radiation therapy equipment, in hospitals",2014,204.0
Belgium,"Radiation therapy equipment, in hospitals",2015,204.0
Belgium,"Radiation therapy equipment, in hospitals",2016,201.0
Belgium,"Radiation therapy equipment, in hospitals",2017,209.0
