Country,Variable,Year,Value
Belgium,Publicly owned hospitals,2002,65.0
Belgium,Publicly owned hospitals,2003,63.0
Belgium,Publicly owned hospitals,2004,59.0
Belgium,Publicly owned hospitals,2005,57.0
Belgium,Publicly owned hospitals,2006,55.0
Belgium,Publicly owned hospitals,2007,52.0
Belgium,Publicly owned hospitals,2008,51.0
Belgium,Publicly owned hospitals,2009,49.0
Belgium,Publicly owned hospitals,2010,46.0
Belgium,Publicly owned hospitals,2011,46.0
Belgium,Publicly owned hospitals,2012,45.0
Belgium,Publicly owned hospitals,2013,44.0
Belgium,Publicly owned hospitals,2014,41.0
Belgium,Publicly owned hospitals,2015,40.0
Belgium,Publicly owned hospitals,2016,40.0
Belgium,Publicly owned hospitals,2017,40.0
Belgium,Publicly owned hospitals,2018,40.0
Belgium,Not-for-profit privately owned hospitals,2000,157.0
Belgium,Not-for-profit privately owned hospitals,2001,153.0
Belgium,Not-for-profit privately owned hospitals,2002,153.0
Belgium,Not-for-profit privately owned hospitals,2003,153.0
Belgium,Not-for-profit privately owned hospitals,2004,155.0
Belgium,Not-for-profit privately owned hospitals,2005,157.0
Belgium,Not-for-profit privately owned hospitals,2006,156.0
Belgium,Not-for-profit privately owned hospitals,2007,156.0
Belgium,Not-for-profit privately owned hospitals,2008,154.0
Belgium,Not-for-profit privately owned hospitals,2009,151.0
Belgium,Not-for-profit privately owned hospitals,2010,149.0
Belgium,Not-for-profit privately owned hospitals,2011,149.0
Belgium,Not-for-profit privately owned hospitals,2012,149.0
Belgium,Not-for-profit privately owned hospitals,2013,146.0
Belgium,Not-for-profit privately owned hospitals,2014,139.0
Belgium,Not-for-profit privately owned hospitals,2015,139.0
Belgium,Not-for-profit privately owned hospitals,2016,137.0
Belgium,Not-for-profit privately owned hospitals,2017,135.0
Belgium,Not-for-profit privately owned hospitals,2018,134.0
Canada,Hospitals,2000,787.0
Canada,Hospitals,2001,764.0
Canada,Hospitals,2002,767.0
Canada,Hospitals,2003,756.0
Canada,Hospitals,2004,734.0
Canada,Hospitals,2005,737.0
Canada,Hospitals,2006,732.0
Canada,Hospitals,2007,730.0
Canada,Hospitals,2008,724.0
Canada,Hospitals,2009,724.0
Canada,Hospitals,2010,724.0
Canada,Hospitals,2011,725.0
Canada,Hospitals,2012,720.0
Canada,Hospitals,2013,722.0
Canada,Hospitals,2014,720.0
Canada,Hospitals,2015,719.0
Canada,Hospitals,2016,722.0
Canada,Hospitals,2017,722.0
Canada,General hospitals,2006,606.0
Canada,General hospitals,2007,591.0
Canada,General hospitals,2008,581.0
Canada,General hospitals,2009,587.0
Canada,General hospitals,2010,573.0
Canada,General hospitals,2011,584.0
Canada,General hospitals,2012,584.0
Canada,General hospitals,2013,586.0
Canada,General hospitals,2014,586.0
Canada,General hospitals,2015,586.0
Canada,General hospitals,2016,590.0
Canada,General hospitals,2017,589.0
Canada,Publicly owned hospitals,2006,725.0
Canada,Publicly owned hospitals,2007,723.0
Canada,Publicly owned hospitals,2008,717.0
Canada,Publicly owned hospitals,2009,717.0
Canada,Publicly owned hospitals,2010,717.0
Canada,Publicly owned hospitals,2011,718.0
Canada,Publicly owned hospitals,2012,713.0
Canada,Publicly owned hospitals,2013,715.0
Canada,Publicly owned hospitals,2014,713.0
Canada,Publicly owned hospitals,2015,712.0
Canada,Publicly owned hospitals,2016,715.0
Canada,Publicly owned hospitals,2017,715.0
Canada,For-profit privately owned hospitals,2006,7.0
Canada,For-profit privately owned hospitals,2007,7.0
Canada,For-profit privately owned hospitals,2008,7.0
Canada,For-profit privately owned hospitals,2009,7.0
Canada,For-profit privately owned hospitals,2010,7.0
Canada,For-profit privately owned hospitals,2011,7.0
Canada,For-profit privately owned hospitals,2012,7.0
Canada,For-profit privately owned hospitals,2013,7.0
Canada,For-profit privately owned hospitals,2014,7.0
Canada,For-profit privately owned hospitals,2015,7.0
Canada,For-profit privately owned hospitals,2016,7.0
Canada,For-profit privately owned hospitals,2017,7.0
Czech Republic,Hospitals,2005,262.0
Czech Republic,Hospitals,2006,257.0
Czech Republic,Hospitals,2007,255.0
Czech Republic,Hospitals,2008,254.0
Czech Republic,Hospitals,2009,256.0
Czech Republic,Hospitals,2010,255.0
Czech Republic,Hospitals,2011,255.0
Czech Republic,Hospitals,2012,252.0
Czech Republic,Hospitals,2013,253.0
Czech Republic,Hospitals,2014,257.0
Czech Republic,Hospitals,2015,256.0
Czech Republic,Hospitals,2016,260.0
Czech Republic,Hospitals,2017,258.0
Czech Republic,General hospitals,2005,169.0
Czech Republic,General hospitals,2006,164.0
Czech Republic,General hospitals,2007,165.0
Czech Republic,General hospitals,2008,164.0
Czech Republic,General hospitals,2009,165.0
Czech Republic,General hospitals,2010,160.0
Czech Republic,General hospitals,2011,156.0
Czech Republic,General hospitals,2012,156.0
Czech Republic,General hospitals,2013,156.0
Czech Republic,General hospitals,2014,155.0
Czech Republic,General hospitals,2015,155.0
Czech Republic,General hospitals,2016,152.0
Czech Republic,General hospitals,2017,156.0
Czech Republic,Publicly owned hospitals,2009,169.0
Czech Republic,Publicly owned hospitals,2010,162.0
Czech Republic,Publicly owned hospitals,2011,160.0
Czech Republic,Publicly owned hospitals,2012,156.0
Czech Republic,Publicly owned hospitals,2013,156.0
Czech Republic,Publicly owned hospitals,2014,163.0
Czech Republic,Publicly owned hospitals,2015,159.0
Czech Republic,Publicly owned hospitals,2016,161.0
Czech Republic,Publicly owned hospitals,2017,161.0
Czech Republic,Not-for-profit privately owned hospitals,2009,5.0
Czech Republic,Not-for-profit privately owned hospitals,2010,4.0
Czech Republic,Not-for-profit privately owned hospitals,2011,4.0
Czech Republic,Not-for-profit privately owned hospitals,2012,4.0
Czech Republic,Not-for-profit privately owned hospitals,2013,3.0
Czech Republic,Not-for-profit privately owned hospitals,2014,3.0
Czech Republic,Not-for-profit privately owned hospitals,2015,3.0
Czech Republic,Not-for-profit privately owned hospitals,2016,3.0
Czech Republic,Not-for-profit privately owned hospitals,2017,3.0
Czech Republic,For-profit privately owned hospitals,2009,82.0
Czech Republic,For-profit privately owned hospitals,2010,89.0
Czech Republic,For-profit privately owned hospitals,2011,91.0
Czech Republic,For-profit privately owned hospitals,2012,92.0
Czech Republic,For-profit privately owned hospitals,2013,94.0
Czech Republic,For-profit privately owned hospitals,2014,91.0
Czech Republic,For-profit privately owned hospitals,2015,94.0
Czech Republic,For-profit privately owned hospitals,2016,96.0
Czech Republic,For-profit privately owned hospitals,2017,94.0
Finland,Hospitals,2000,389.0
Finland,Hospitals,2001,391.0
Finland,Hospitals,2002,389.0
Finland,Hospitals,2003,380.0
Finland,Hospitals,2004,373.0
Finland,Hospitals,2005,369.0
Finland,Hospitals,2006,350.0
Finland,Hospitals,2007,325.0
Finland,Hospitals,2008,320.0
Finland,Hospitals,2009,298.0
Finland,Hospitals,2010,280.0
Finland,Hospitals,2011,275.0
Finland,Hospitals,2012,263.0
Finland,Hospitals,2013,259.0
Finland,Hospitals,2014,258.0
Finland,Hospitals,2015,268.0
Finland,Hospitals,2016,262.0
Finland,Hospitals,2017,247.0
Finland,General hospitals,2000,155.0
Finland,General hospitals,2001,156.0
Finland,General hospitals,2002,154.0
Finland,General hospitals,2003,145.0
Finland,General hospitals,2004,146.0
Finland,General hospitals,2005,145.0
Finland,General hospitals,2006,131.0
Finland,General hospitals,2007,131.0
Finland,General hospitals,2008,130.0
Finland,General hospitals,2009,131.0
Finland,General hospitals,2010,134.0
Finland,General hospitals,2011,138.0
Finland,General hospitals,2012,133.0
Finland,General hospitals,2013,131.0
Finland,General hospitals,2014,128.0
Finland,General hospitals,2015,133.0
Finland,General hospitals,2016,125.0
Finland,General hospitals,2017,130.0
Finland,Publicly owned hospitals,2000,347.0
Finland,Publicly owned hospitals,2001,346.0
Finland,Publicly owned hospitals,2002,341.0
Finland,Publicly owned hospitals,2003,332.0
Finland,Publicly owned hospitals,2004,321.0
Finland,Publicly owned hospitals,2005,313.0
Finland,Publicly owned hospitals,2006,290.0
Finland,Publicly owned hospitals,2007,263.0
Finland,Publicly owned hospitals,2008,256.0
Finland,Publicly owned hospitals,2009,233.0
Finland,Publicly owned hospitals,2010,213.0
Finland,Publicly owned hospitals,2011,201.0
Finland,Publicly owned hospitals,2012,192.0
Finland,Publicly owned hospitals,2013,186.0
Finland,Publicly owned hospitals,2014,190.0
Finland,Publicly owned hospitals,2015,191.0
Finland,Publicly owned hospitals,2016,192.0
Finland,Publicly owned hospitals,2017,168.0
Finland,For-profit privately owned hospitals,2000,42.0
Finland,For-profit privately owned hospitals,2001,45.0
Finland,For-profit privately owned hospitals,2002,48.0
Finland,For-profit privately owned hospitals,2003,48.0
Finland,For-profit privately owned hospitals,2004,52.0
Finland,For-profit privately owned hospitals,2005,56.0
Finland,For-profit privately owned hospitals,2006,60.0
Finland,For-profit privately owned hospitals,2007,62.0
Finland,For-profit privately owned hospitals,2008,64.0
Finland,For-profit privately owned hospitals,2009,65.0
Finland,For-profit privately owned hospitals,2010,67.0
Finland,For-profit privately owned hospitals,2011,74.0
Finland,For-profit privately owned hospitals,2012,71.0
Finland,For-profit privately owned hospitals,2013,73.0
Finland,For-profit privately owned hospitals,2014,68.0
Finland,For-profit privately owned hospitals,2015,77.0
Finland,For-profit privately owned hospitals,2016,70.0
Finland,For-profit privately owned hospitals,2017,79.0
France,Hospitals,2000,3120.0
France,Hospitals,2001,3089.0
France,Hospitals,2002,3057.0
France,Hospitals,2003,3000.0
France,Hospitals,2004,2960.0
France,Hospitals,2005,2924.0
France,Hospitals,2006,2883.0
France,Hospitals,2007,2845.0
France,Hospitals,2008,2790.0
France,Hospitals,2009,2757.0
France,Hospitals,2010,2707.0
France,Hospitals,2011,2681.0
France,Hospitals,2012,2657.0
France,Hospitals,2013,3192.0
France,Hospitals,2014,3111.0
France,Hospitals,2015,3089.0
France,Hospitals,2016,3065.0
France,Hospitals,2017,3046.0
France,General hospitals,2000,2172.0
France,General hospitals,2001,2159.0
France,General hospitals,2002,2147.0
France,General hospitals,2003,2105.0
France,General hospitals,2004,2075.0
France,General hospitals,2005,2056.0
France,General hospitals,2006,2023.0
France,General hospitals,2007,1993.0
France,General hospitals,2008,1950.0
France,General hospitals,2009,1923.0
France,General hospitals,2010,1892.0
France,General hospitals,2011,1876.0
France,General hospitals,2012,1856.0
France,General hospitals,2013,2034.0
France,General hospitals,2014,1979.0
France,General hospitals,2015,1951.0
France,General hospitals,2016,1930.0
France,General hospitals,2017,1916.0
France,Publicly owned hospitals,2000,1043.0
France,Publicly owned hospitals,2001,1040.0
France,Publicly owned hospitals,2002,1043.0
France,Publicly owned hospitals,2003,1031.0
France,Publicly owned hospitals,2004,1029.0
France,Publicly owned hospitals,2005,1022.0
France,Publicly owned hospitals,2006,1012.0
France,Publicly owned hospitals,2007,1008.0
France,Publicly owned hospitals,2008,989.0
France,Publicly owned hospitals,2009,972.0
France,Publicly owned hospitals,2010,953.0
France,Publicly owned hospitals,2011,944.0
France,Publicly owned hospitals,2012,928.0
France,Publicly owned hospitals,2013,1458.0
France,Publicly owned hospitals,2014,1416.0
France,Publicly owned hospitals,2015,1389.0
France,Publicly owned hospitals,2016,1376.0
France,Publicly owned hospitals,2017,1364.0
France,Not-for-profit privately owned hospitals,2000,889.0
France,Not-for-profit privately owned hospitals,2001,871.0
France,Not-for-profit privately owned hospitals,2002,854.0
France,Not-for-profit privately owned hospitals,2003,848.0
France,Not-for-profit privately owned hospitals,2004,832.0
France,Not-for-profit privately owned hospitals,2005,820.0
France,Not-for-profit privately owned hospitals,2006,804.0
France,Not-for-profit privately owned hospitals,2007,782.0
France,Not-for-profit privately owned hospitals,2008,754.0
France,Not-for-profit privately owned hospitals,2009,736.0
France,Not-for-profit privately owned hospitals,2010,711.0
France,Not-for-profit privately owned hospitals,2011,706.0
France,Not-for-profit privately owned hospitals,2012,699.0
France,Not-for-profit privately owned hospitals,2013,712.0
France,Not-for-profit privately owned hospitals,2014,683.0
France,Not-for-profit privately owned hospitals,2015,690.0
France,Not-for-profit privately owned hospitals,2016,686.0
France,Not-for-profit privately owned hospitals,2017,680.0
France,For-profit privately owned hospitals,2000,1188.0
France,For-profit privately owned hospitals,2001,1178.0
France,For-profit privately owned hospitals,2002,1160.0
France,For-profit privately owned hospitals,2003,1121.0
France,For-profit privately owned hospitals,2004,1099.0
France,For-profit privately owned hospitals,2005,1082.0
France,For-profit privately owned hospitals,2006,1067.0
France,For-profit privately owned hospitals,2007,1055.0
France,For-profit privately owned hospitals,2008,1047.0
France,For-profit privately owned hospitals,2009,1049.0
France,For-profit privately owned hospitals,2010,1043.0
France,For-profit privately owned hospitals,2011,1031.0
France,For-profit privately owned hospitals,2012,1030.0
France,For-profit privately owned hospitals,2013,1022.0
France,For-profit privately owned hospitals,2014,1012.0
France,For-profit privately owned hospitals,2015,1009.0
France,For-profit privately owned hospitals,2016,1003.0
France,For-profit privately owned hospitals,2017,1002.0
Germany,Hospitals,2000,3635.0
Germany,Hospitals,2001,3628.0
Germany,Hospitals,2002,3564.0
Germany,Hospitals,2003,3513.0
Germany,Hospitals,2004,3460.0
Germany,Hospitals,2005,3409.0
Germany,Hospitals,2006,3359.0
Germany,Hospitals,2007,3326.0
Germany,Hospitals,2008,3322.0
Germany,Hospitals,2009,3324.0
Germany,Hospitals,2010,3301.0
Germany,Hospitals,2011,3278.0
Germany,Hospitals,2012,3229.0
Germany,Hospitals,2013,3183.0
Germany,Hospitals,2014,3138.0
Germany,Hospitals,2015,3108.0
Germany,Hospitals,2016,3100.0
Germany,Hospitals,2017,3084.0
Germany,General hospitals,2000,2003.0
Germany,General hospitals,2001,1995.0
Germany,General hospitals,2002,1898.0
Germany,General hospitals,2003,1868.0
Germany,General hospitals,2004,1827.0
Germany,General hospitals,2005,1846.0
Germany,General hospitals,2006,1809.0
Germany,General hospitals,2007,1791.0
Germany,General hospitals,2008,1781.0
Germany,General hospitals,2009,1780.0
Germany,General hospitals,2010,1758.0
Germany,General hospitals,2011,1736.0
Germany,General hospitals,2012,1692.0
Germany,General hospitals,2013,1668.0
Germany,General hospitals,2014,1646.0
Germany,General hospitals,2015,1619.0
Germany,General hospitals,2016,1607.0
Germany,General hospitals,2017,1592.0
Germany,Publicly owned hospitals,2000,1058.0
Germany,Publicly owned hospitals,2001,1043.0
Germany,Publicly owned hospitals,2002,1055.0
Germany,Publicly owned hospitals,2003,1025.0
Germany,Publicly owned hospitals,2004,1014.0
Germany,Publicly owned hospitals,2005,979.0
Germany,Publicly owned hospitals,2006,946.0
Germany,Publicly owned hospitals,2007,896.0
Germany,Publicly owned hospitals,2008,885.0
Germany,Publicly owned hospitals,2009,872.0
Germany,Publicly owned hospitals,2010,852.0
Germany,Publicly owned hospitals,2011,854.0
Germany,Publicly owned hospitals,2012,833.0
Germany,Publicly owned hospitals,2013,825.0
Germany,Publicly owned hospitals,2014,818.0
Germany,Publicly owned hospitals,2015,806.0
Germany,Publicly owned hospitals,2016,793.0
Germany,Publicly owned hospitals,2017,785.0
Germany,Not-for-profit privately owned hospitals,2000,1283.0
Germany,Not-for-profit privately owned hospitals,2001,1271.0
Germany,Not-for-profit privately owned hospitals,2002,1225.0
Germany,Not-for-profit privately owned hospitals,2003,1193.0
Germany,Not-for-profit privately owned hospitals,2004,1158.0
Germany,Not-for-profit privately owned hospitals,2005,1134.0
Germany,Not-for-profit privately owned hospitals,2006,1121.0
Germany,Not-for-profit privately owned hospitals,2007,1104.0
Germany,Not-for-profit privately owned hospitals,2008,1103.0
Germany,Not-for-profit privately owned hospitals,2009,1093.0
Germany,Not-for-profit privately owned hospitals,2010,1076.0
Germany,Not-for-profit privately owned hospitals,2011,1066.0
Germany,Not-for-profit privately owned hospitals,2012,1040.0
Germany,Not-for-profit privately owned hospitals,2013,1023.0
Germany,Not-for-profit privately owned hospitals,2014,997.0
Germany,Not-for-profit privately owned hospitals,2015,979.0
Germany,Not-for-profit privately owned hospitals,2016,989.0
Germany,Not-for-profit privately owned hospitals,2017,970.0
Germany,For-profit privately owned hospitals,2000,1294.0
Germany,For-profit privately owned hospitals,2001,1314.0
Germany,For-profit privately owned hospitals,2002,1284.0
Germany,For-profit privately owned hospitals,2003,1295.0
Germany,For-profit privately owned hospitals,2004,1288.0
Germany,For-profit privately owned hospitals,2005,1296.0
Germany,For-profit privately owned hospitals,2006,1292.0
Germany,For-profit privately owned hospitals,2007,1326.0
Germany,For-profit privately owned hospitals,2008,1334.0
Germany,For-profit privately owned hospitals,2009,1359.0
Germany,For-profit privately owned hospitals,2010,1373.0
Germany,For-profit privately owned hospitals,2011,1358.0
Germany,For-profit privately owned hospitals,2012,1356.0
Germany,For-profit privately owned hospitals,2013,1335.0
Germany,For-profit privately owned hospitals,2014,1323.0
Germany,For-profit privately owned hospitals,2015,1323.0
Germany,For-profit privately owned hospitals,2016,1318.0
Germany,For-profit privately owned hospitals,2017,1329.0
Greece,Hospitals,2000,337.0
Greece,Hospitals,2001,336.0
Greece,Hospitals,2002,326.0
Greece,Hospitals,2003,327.0
Greece,Hospitals,2004,319.0
Greece,Hospitals,2005,317.0
Greece,Hospitals,2006,317.0
Greece,Hospitals,2007,313.0
Greece,Hospitals,2008,316.0
Greece,Hospitals,2009,313.0
Greece,Hospitals,2010,310.0
Greece,Hospitals,2011,314.0
Greece,Hospitals,2012,302.0
Greece,Hospitals,2013,290.0
Greece,Hospitals,2014,283.0
Greece,Hospitals,2015,283.0
Greece,Hospitals,2016,280.0
Greece,Hospitals,2017,277.0
Greece,General hospitals,2000,179.0
Greece,General hospitals,2001,181.0
Greece,General hospitals,2002,185.0
Greece,General hospitals,2003,184.0
Greece,General hospitals,2004,181.0
Greece,General hospitals,2005,181.0
Greece,General hospitals,2006,184.0
Greece,General hospitals,2007,185.0
Greece,General hospitals,2008,186.0
Greece,General hospitals,2009,187.0
Greece,General hospitals,2010,187.0
Greece,General hospitals,2011,190.0
Greece,General hospitals,2012,187.0
Greece,General hospitals,2013,178.0
Greece,General hospitals,2014,176.0
Greece,General hospitals,2015,172.0
Greece,General hospitals,2016,173.0
Greece,General hospitals,2017,174.0
Greece,Publicly owned hospitals,2000,140.0
Greece,Publicly owned hospitals,2001,139.0
Greece,Publicly owned hospitals,2002,141.0
Greece,Publicly owned hospitals,2003,142.0
Greece,Publicly owned hospitals,2004,141.0
Greece,Publicly owned hospitals,2005,141.0
Greece,Publicly owned hospitals,2006,141.0
Greece,Publicly owned hospitals,2007,140.0
Greece,Publicly owned hospitals,2008,140.0
Greece,Publicly owned hospitals,2009,142.0
Greece,Publicly owned hospitals,2010,141.0
Greece,Publicly owned hospitals,2011,141.0
Greece,Publicly owned hospitals,2012,133.0
Greece,Publicly owned hospitals,2013,125.0
Greece,Publicly owned hospitals,2014,124.0
Greece,Publicly owned hospitals,2015,124.0
Greece,Publicly owned hospitals,2016,124.0
Greece,Publicly owned hospitals,2017,125.0
Greece,Not-for-profit privately owned hospitals,2000,5.0
